Group,Author,uTime,Normal Time,HH:MM:SS,Text,Permalink,Likes
zoommemes,Unofficial: Overly Attached Girlfriend,1593022469,2020-06-24 18:14:29 PDT-0700,18:14:29,something beyond my wildest dreams...,,2300
zoommemes,Sophia Chrysanthos,1592867426,2020-06-22 23:10:26 PDT-0700,23:10:26,How is grad school going,,5100
zoommemes,Erdene Suvd,1593107167,2020-06-25 17:46:07 PDT-0700,17:46:07,,,126
zoommemes,Emma Tan,1593107869,2020-06-25 17:57:49 PDT-0700,17:57:49,it be like that sometimes,,117
zoommemes,Court Duns,1592765804,2020-06-21 18:56:44 PDT-0700,18:56:44,God damn...,,675
zoommemes,Erick Pierre,1593106653,2020-06-25 17:37:33 PDT-0700,17:37:33,,,4100
zoommemes,Joe Arnone,1593107467,2020-06-25 17:51:07 PDT-0700,17:51:07,,,484
zoommemes,Jonah Gottesman,1593197955,2020-06-26 18:59:15 PDT-0700,18:59:15,,,3000
zoommemes,Shawn Koo,1593106788,2020-06-25 17:39:48 PDT-0700,17:39:48,Facebook team lets add a reaction that people can use during this pandemic to show that they care about whats going on Me uses the care react on photos of cats,,2400
zoommemes,Hersh Gupta,1592867194,2020-06-22 23:06:34 PDT-0700,23:06:34,,,4800
zoommemes,Jessica Rivera,1592798489,2020-06-22 04:01:29 PDT-0700,04:01:29,,,4100
zoommemes,Justin Chiang,1593204342,2020-06-26 20:45:42 PDT-0700,20:45:42,bruh,,405
zoommemes,Jimmi Hopkins,1593047535,2020-06-25 01:12:15 PDT-0700,01:12:15,Sighs,,16000
zoommemes,Introvert Problems,1593146251,2020-06-26 04:37:31 PDT-0700,04:37:31,Something does not check out ,,8100
zoommemes,Jessica Block,1593047446,2020-06-25 01:10:46 PDT-0700,01:10:46,Quarantine ,,238
zoommemes,Paulo Brandão,1593232704,2020-06-27 04:38:24 PDT-0700,04:38:24,,,3000
zoommemes,Jess Ding,1593237047,2020-06-27 05:50:47 PDT-0700,05:50:47,,,2800
zoommemes,Alexander Wu,1593106703,2020-06-25 17:38:23 PDT-0700,17:38:23,,,125
zoommemes,Marie O'Shea,1593047485,2020-06-25 01:11:25 PDT-0700,01:11:25,Student debt is terrifying,,199
zoommemes,Julie Huang,1593106928,2020-06-25 17:42:08 PDT-0700,17:42:08,quarantine has greatly enriched piazza content,,376
zoommemes,Kankshini Pabba,1593237000,2020-06-27 05:50:00 PDT-0700,05:50:00,Perry the platypus is an American hero  found on Instagram,,14000
zoommemes,Hao Tang,1592766032,2020-06-21 19:00:32 PDT-0700,19:00:32,,,971
zoommemes,Tristan J Philippe,1593022098,2020-06-24 18:08:18 PDT-0700,18:08:18,,,4100
zoommemes,Alex Yeo,1593107483,2020-06-25 17:51:23 PDT-0700,17:51:23,Stay home and continue flattening the curve ,,3900
zoommemes,Moneth Enriquez,1593106929,2020-06-25 17:42:09 PDT-0700,17:42:09,,,1100
zoommemes,Theo US,1592765896,2020-06-21 18:58:16 PDT-0700,18:58:16,,,3300
zoommemes,Matthew Grossman,1593106477,2020-06-25 17:34:37 PDT-0700,17:34:37,Please tell me there are Star Wars fans on here PS this took like two months to be approved<comma> it was posted on May 4th ,,267
zoommemes,Josh Witt,1593106770,2020-06-25 17:39:30 PDT-0700,17:39:30,BIG opossum...possum  mood,,443
zoommemes,Jindi Zhang,1593022140,2020-06-24 18:09:00 PDT-0700,18:09:00,The view when you walk outside after your three hour online exam,,1400
zoommemes,Kaustubh Khamgaonkar,1593022506,2020-06-24 18:15:06 PDT-0700,18:15:06,Well I think we all got bingo,,454
zoommemes,Ben White,1592867444,2020-06-22 23:10:44 PDT-0700,23:10:44,When youre a senior and turn in your last assignment and have no job prospects,,553
zoommemes,Megan Grace,1592867666,2020-06-22 23:14:26 PDT-0700,23:14:26,love in the time of corona  when u finally see ur best friend from afar  ,,98
zoommemes,Josef Hicks,1592915235,2020-06-23 12:27:15 PDT-0700,12:27:15,pain,,3200
zoommemes,Incoming memes,1593042835,2020-06-24 23:53:55 PDT-0700,23:53:55,,,73
zoommemes,My H. Tran,1593106607,2020-06-25 17:36:47 PDT-0700,17:36:47,,,2100
zoommemes,Andrew Tang,1593145969,2020-06-26 04:32:49 PDT-0700,04:32:49,I emailed my prof to see how he felt about us being back on campus in the fall. This really sent me. Me too man<comma> me too...,,6100
zoommemes,Rachel Wang,1593126633,2020-06-25 23:10:33 PDT-0700,23:10:33,Its 2020. You cant blow dandelions anymore. Let that sink in,,359
zoommemes,Bakhtyar Siddiqui,1593042740,2020-06-24 23:52:20 PDT-0700,23:52:20,My last few brain cells trying to navigate through the end of this quarantine,,25
zoommemes,Madison Titshaw,1592867130,2020-06-22 23:05:30 PDT-0700,23:05:30,My professor and I have begun to just post Kermit memes back and forth to each other about the state of my paper.,,1900
zoommemes,Everett Secor,1593106670,2020-06-25 17:37:50 PDT-0700,17:37:50,The Coronnials have begun,,5500
zoommemes,Kishan Trivedi,1593106638,2020-06-25 17:37:18 PDT-0700,17:37:18,This sums the year up perfectly,,343
zoommemes,Tyler Nguyen,1593146816,2020-06-26 04:46:56 PDT-0700,04:46:56,Is smizing hello noticeable enough Sincerely<comma> Struggling Social Student,,935
zoommemes,Sachin Khambatta,1593106698,2020-06-25 17:38:18 PDT-0700,17:38:18,,,284
zoommemes,Danny Casale,1592867822,2020-06-22 23:17:02 PDT-0700,23:17:02,,,746
zoommemes,Linda Lee,1592867275,2020-06-22 23:07:55 PDT-0700,23:07:55,aight Winston<comma> call me out,,1900
zoommemes,Skylar Epstein,1592867841,2020-06-22 23:17:21 PDT-0700,23:17:21,,,3900
zoommemes,James,1593107808,2020-06-25 17:56:48 PDT-0700,17:56:48,,,4200
zoommemes,I see no God around,1593107824,2020-06-25 17:57:04 PDT-0700,17:57:04,,,1200
zoommemes,Amanda Valkyrie Callender,1592647302,2020-06-20 10:01:42 PDT-0700,10:01:42,Ive never felt so empowered during these times.,,8000
